,sub_id,sub_name,line,longtitude,latitude,bike_id
697,231,신대방역,2호선,126.913149,37.487462,"[2176, 2177]"
698,230,신림역,2호선,126.929715,37.484201,"[2102, 2135, 2136, 2164, 2174, 2175, 2195, 3807]"
699,229,봉천역,2호선,126.941892,37.482362,"[2108, 2145, 2169, 2179, 2189, 2190, 2196, 3812]"
700,228,서울대입구(관악구청)역,2호선,126.952739,37.481247,"[2111, 2112, 2116, 2119, 2128, 2171, 2198, 3311, 3812, 3816]"
701,227,낙성대역,2호선,126.963693,37.47693,"[2122, 2148, 2159, 2165, 2167, 2186, 2199, 3305, 3813, 3304]"
702,226,사당역,2호선,126.981544,37.476538,"[2034, 2089, 2104, 2222, 2223, 2281, 3815]"
703,225,방배역,2호선,126.997596,37.481426,"[2235, 4318]"
704,224,서초역,2호선,127.007917,37.491897,"[2266, 2502, 4327]"
705,223,교대(법원.검찰청)역,2호선,127.014667,37.493961,"[2239, 2279, 2521]"
706,222,강남역,2호선,127.027912,37.49799,"[2231, 2407, 2515]"
707,221,역삼역,2호선,127.036456,37.500622,"[2349, 2410, 2430]"
708,220,선릉역,2호선,127.048203,37.504286,"[2328, 2329, 2332, 2369, 2382, 2417]"
709,219,삼성(무역센터)역,2호선,127.06316,37.508844,"[2316, 2322, 2355, 3603]"
710,218,종합운동장역,2호선,127.073704,37.511022,"[1205, 1206, 1224, 2637]"
711,217,잠실새내역,2호선,127.086162,37.511687,"[1222, 1235, 1269, 2635]"
712,216,잠실(송파구청)역,2호선,127.100159,37.513262,"[1210, 1231, 1232, 1295, 2647, 4452, 4486]"
713,215,잠실나루역,2호선,127.10379,37.520733,"[1209, 4484, 4485, 4496, 4859]"
714,214,강변(동서울터미널)역,2호선,127.094681,37.535095,"[542, 543, 552, 555, 3563]"
715,213,구의(광진구청)역,2호선,127.085916,37.537077,"[505, 3501, 3563, 3570, 3575, 3873]"
716,212,건대입구역,2호선,127.069191,37.540373,"[501, 590, 3533, 3534, 3569]"
717,211,성수역,2호선,127.055961,37.544581,"[507, 508, 567, 587, 589, 4377]"
718,210,뚝섬역,2호선,127.047367,37.547184,"[511, 512, 513, 582, 3538, 3548, 3559, 4353]"
719,209,한양대역,2호선,127.043655,37.555273,"[525, 3538, 3544, 3545, 3557, 4362, 4370]"
720,208,왕십리(성동구청)역,2호선,127.036954,37.561238,"[521, 525, 537, 558, 559, 3558, 3561, 4367]"
721,207,상왕십리역,2호선,127.029354,37.564354,"[519, 520, 530, 557, 3513, 3532, 3547, 3555]"
722,206,신당역,2호선,127.019614,37.56564,"[383, 481, 3514, 375]"
723,205,동대문역사문화공원역,2호선,127.009054,37.565613,"[346, 347, 430, 474, 475, 476, 4765, 4793]"
724,204,을지로4가역,2호선,126.997817,37.566595,"[338, 339, 387, 389, 397, 398, 473, 4792]"
725,203,을지로3가역,2호선,126.991696,37.566306,"[322, 329, 331, 332, 334, 335, 336, 389, 398, 428, 472, 3013, 4707, 4761, 4778, 4784, 4785]"
726,202,을지로입구역,2호선,126.982618,37.566014,"[316, 318, 320, 321, 322, 331, 332, 368, 385, 433, 466, 467, 468, 3013, 4762, 4774, 4775, 4778, 4785, 4796, 311]"
727,201,시청역,2호선,126.975411,37.563588,"[370, 391, 443, 445, 466, 468, 4753, 4768, 4772, 4796, 312, 311]"
728,159,동묘앞역,1호선,127.01648,37.573197,"[361, 431, 456, 3401, 3416, 378]"
729,158,청량리(서울시립대입구)역,1호선,127.044585,37.579956,"[633, 640, 677]"
730,157,제기동역,1호선,127.034893,37.578103,"[601, 614, 615, 659, 660, 676, 4110]"
731,156,신설동역,1호선,127.024634,37.576048,"[362, 363, 456, 605, 613, 671, 672, 1351]"
732,155,동대문역,1호선,127.01093,37.571687,"[344, 346, 361, 393, 455, 457, 475, 3401, 3415, 3416, 4765]"
733,154,종로5가역,1호선,127.001849,37.570926,"[338, 339, 345, 387, 397, 452, 453, 455, 457, 3404, 3413, 3414]"
734,153,종로3가역,1호선,126.991847,37.570406,"[328, 329, 334, 335, 338, 397, 398, 454, 472, 3410, 3411, 3412, 3432, 4707]"
735,152,종각역,1호선,126.982923,37.570161,"[305, 316, 318, 320, 328, 329, 368, 385, 433, 454, 458, 3013, 3408, 3432, 4708, 4762, 4774, 4775]"
736,151,시청역,1호선,126.977088,37.565715,"[309, 310, 368, 370, 391, 433, 458, 466, 468, 4768, 4774, 4796, 312, 311]"
737,150,서울역역,1호선,126.972135,37.556228,"[379, 435, 441, 442, 445, 484, 485, 807, 826, 4760, 4794, 444]"
