bi_st_id,sub_st_id,sub_name,sub_line,sub_long,sub_lat
4491,2820,장지,8호선,127.126191,37.478703
4493,0,,,,
4496,0,,,,
4497,0,,,,
4499,0,,,,
4500,0,,,,
4507,0,,,,
4508,0,,,,
4509,0,,,,
4510,0,,,,
4512,0,,,,
4514,0,,,,
4515,0,,,,
4516,0,,,,
4517,0,,,,
4518,0,,,,
4519,0,,,,
4520,0,,,,
4522,0,,,,
4523,0,,,,
4526,0,,,,
4527,0,,,,
4528,248,양천구청,2호선,126.865819,37.512398
4530,0,,,,
4531,0,,,,
4532,0,,,,
4534,0,,,,
4535,0,,,,
4536,0,,,,
4552,0,,,,
4553,0,,,,
4555,0,,,,
4556,0,,,,
4557,0,,,,
4558,0,,,,
4559,1032,신길,경부선,126.917865,37.516862
4560,0,,,,
4561,2523,양평,5호선,126.886129,37.525569
4563,0,,,,
4564,0,,,,
4565,0,,,,
4566,0,,,,
4567,0,,,,
4568,0,,,,
4569,0,,,,
4571,0,,,,
4573,0,,,,
4574,2525,영등포시장,5호선,126.905139,37.522669
4575,0,,,,
4576,0,,,,
4578,0,,,,
4579,0,,,,
4580,0,,,,
4581,0,,,,
4582,0,,,,
4583,0,,,,
4584,0,,,,
4585,0,,,,
4588,0,,,,
4589,0,,,,
4590,0,,,,
4591,0,,,,
4592,0,,,,
4594,0,,,,
4598,0,,,,
4599,0,,,,
4600,0,,,,
4602,0,,,,
4603,0,,,,
4604,0,,,,
4605,0,,,,
4607,0,,,,
4608,0,,,,
4609,0,,,,
4610,0,,,,
4611,0,,,,
4612,0,,,,
4613,0,,,,
4615,0,,,,
4616,0,,,,
4617,0,,,,
4618,0,,,,
4619,0,,,,
4620,2629,삼각지,6호선,126.974032,37.535534
4622,0,,,,
4623,0,,,,
4625,0,,,,
4627,1261,효창공원앞,경의중앙선,126.96221,37.538579
4629,0,,,,
4632,0,,,,
4633,0,,,,
4652,0,,,,
4653,2613,불광,6호선,126.92939,37.610873
4654,0,,,,
4657,0,,,,
4658,313,녹번,3호선,126.935756,37.600927
4659,0,,,,
4663,0,,,,
4665,0,,,,
4667,0,,,,
4668,0,,,,
4671,0,,,,
4672,0,,,,
4674,0,,,,
4676,0,,,,
4677,0,,,,
4678,0,,,,
4702,0,,,,
4703,0,,,,
4705,0,,,,
4707,0,,,,
4708,0,,,,
4709,0,,,,
4710,0,,,,
4711,0,,,,
4713,0,,,,
4715,0,,,,
4752,243,충정로,2호선,126.964378,37.559704
4753,0,,,,
4760,150,서울역,1호선,126.972135,37.556228
4761,0,,,,
4762,202,을지로입구,2호선,126.982618,37.566014
4765,0,,,,
4766,0,,,,
4768,151,시청,1호선,126.977088,37.565715
4772,0,,,,
4774,202,을지로입구,2호선,126.982618,37.566014
4775,202,을지로입구,2호선,126.982618,37.566014
4776,0,,,,
4777,0,,,,
4778,0,,,,
4781,0,,,,
4782,0,,,,
4784,0,,,,
4785,0,,,,
4791,424,명동,4호선,126.986325,37.560989
4792,0,,,,
4793,2537,동대문역사문화공원,5호선,127.005353,37.564665
4794,0,,,,
4796,0,,,,
4797,0,,,,
4798,0,,,,
4802,0,,,,
4803,0,,,,
4804,2722,상봉,7호선,127.085716,37.595577
4807,0,,,,
4808,0,,,,
4809,0,,,,
4811,0,,,,
4812,0,,,,
4813,0,,,,
4815,0,,,,
4819,0,,,,
4820,1203,망우,중앙선,127.091909,37.59955
4821,0,,,,
4823,0,,,,
4824,0,,,,
4825,0,,,,
4826,0,,,,
4827,0,,,,
4828,0,,,,
4829,0,,,,
4834,0,,,,
4835,0,,,,
4852,0,,,,
4853,0,,,,
4854,2818,가락시장,8호선,127.118398,37.492888
4855,0,,,,
4856,0,,,,
4857,0,,,,
4859,0,,,,
4860,0,,,,
4861,0,,,,
4862,0,,,,
4863,0,,,,
4864,0,,,,
4865,4135,한성백제,9호선(연장),127.116503,37.516404
4867,0,,,,
4868,0,,,,
4869,0,,,,
4870,2814,몽촌토성,8호선,127.112359,37.517409
4871,0,,,,
4872,2559,개롱,5호선,127.13482,37.498079
4873,2559,개롱,5호선,127.13482,37.498079
4874,0,,,,
4875,0,,,,
4876,0,,,,
4879,0,,,,
4880,0,,,,
4881,0,,,,
4882,0,,,,
4883,0,,,,
4884,0,,,,
4885,0,,,,
4886,0,,,,
4887,0,,,,
4888,4137,둔촌오륜,9호선(연장),127.137989,37.519683
4889,0,,,,
4891,0,,,,
4892,0,,,,
4893,0,,,,
4894,0,,,,
4895,0,,,,
4896,0,,,,
4897,0,,,,
4902,0,,,,
5052,2515,마곡,5호선,126.825448,37.560183
5053,0,,,,
5055,0,,,,
5056,0,,,,
5057,0,,,,
5059,0,,,,
5061,0,,,,
5062,0,,,,
5063,0,,,,
5064,4106,양천향교,9호선,126.841333,37.568381
5065,0,,,,
5066,0,,,,
5067,0,,,,
5070,0,,,,
5072,0,,,,
5073,0,,,,
5074,0,,,,
5075,0,,,,
152,0,,,,
158,0,,,,
218,0,,,,
257,0,,,,
304,2534,광화문,5호선,126.97717,37.571525
312,151,시청,1호선,126.977088,37.565715
375,0,,,,
378,0,,,,
482,0,,,,
581,0,,,,
675,0,,,,
707,0,,,,
1014,2552,명일,5호선,127.143999,37.55137
1320,0,,,,
1434,0,,,,
1443,0,,,,
1534,0,,,,
1545,4708,솔샘,우이신설선,127.013626,37.620238
1695,0,,,,
1700,0,,,,
2081,0,,,,
2361,326,압구정,3호선,127.028461,37.527072
2534,0,,,,
2607,2821,복정,8호선,127.126732,37.471052
2629,0,,,,
2905,0,,,,
3755,0,,,,
4038,0,,,,
4112,0,,,,
4704,0,,,,
4779,322,동대입구,3호선,127.005602,37.559052
311,151,시청,1호선,126.977088,37.565715
373,0,,,,
444,1291,서울역,경의중앙선,126.97103,37.557231
868,0,,,,
3535,0,,,,
3106,0,,,,
101,0,,,,
136,0,,,,
151,0,,,,
4205,0,,,,
1114,0,,,,
2714,0,,,,
2200,0,,,,
3304,227,낙성대,2호선,126.963693,37.47693
2292,0,,,,
2543,0,,,,
